Trap,Zone Type
T001,Business
T002,Business
T002A,Business
T002B,Business
T003,Business
T004,Business
T005,Business
T006,Business
T007,Business
T008,Business
T009,Business
T011,Business
T012,Business
T013,Business
T014,Business
T015,Business
T016,Commercial
T017,Commercial
T018,Commercial
T019,Commercial
T025,Commercial
T027,Commercial
T028,Commercial
T030,Commercial
T031,Manufacturing
T033,Manufacturing
T034,Manufacturing
T035,Manufacturing
T036,Manufacturing
T037,Manufacturing
T039,Manufacturing
T040,Manufacturing
T043,Manufacturing
T044,Manufacturing
T045,Manufacturing
T046,Manufacturing
T047,Manufacturing
T048,Residential
T049,Residential
T050,Residential
T051,Residential
T054,Residential
T054C,Residential
T060,Residential
T061,Residential
T062,Residential
T063,Residential
T065,Residential
T065A,Residential
T066,Residential
T067,Residential
T069,Residential
T070,Residential
T071,Residential
T072,Residential
T073,Residential
T074,Residential
T075,Residential
T076,Residential
T077,Residential
T078,Residential
T079,Residential
T080,Residential
T081,Residential
T082,Residential
T083,Residential
T084,Residential
T085,Residential
T086,Residential
T088,Residential
T089,Residential
T090,Residential
T090A,Residential
T090B,Residential
T090C,Residential
T091,Residential
T092,Residential
T094,Residential
T094B,Residential
T095,Residential
T096,Residential
T097,Residential
T099,Residential
T100,Residential
T102,Residential
T103,Residential
T107,Residential
T114,Residential
T115,Residential
T128,Residential
T128A,Residential
T129,Residential
T135,Residential
T138,Residential
T141,Residential
T142,Residential
T143,Residential
T144,Residential
T145,Residential
T146,Residential
T147,Residential
T148,Residential
T149,Residential
T150,Residential
T151,Residential
T152,Residential
T153,Residential
T154,Residential
T155,Residential
T156,Residential
T157,Residential
T158,Residential
T159,Potential Developments
T160,Potential Developments
T161,Potential Developments
T162,Potential Developments
T200,Potential Developments
T200A,Potential Developments
T200B,Potential Developments
T206,Potential Developments
T209,Potential Developments
T212,Potential Developments
T215,Potential Developments
T218,Potential Developments
T218A,Potential Developments
T218B,Potential Developments
T218C,Potential Developments
T219,Potential Developments
T220,Potential Developments
T221,Downtown
T222,Public Parks
T223,Public Parks
T224,Public Parks
T225,Public Parks
T226,Public Parks
T227,Public Parks
T228,Public Parks
T229,Public Parks
T230,Public Parks
T231,Public Parks
T232,Public Parks
T233,Public Parks
T234,Public Parks
T235,Public Parks
T236,Public Parks
T237,Other
T238,Other
T900,Other
T903,Other
